,Prob. cluster 0,Prob. cluster 1,Prob. cluster 2,Prob. cluster 3,Prob. cluster 4,Prob. cluster 5,Prob. cluster 6,Prob. cluster 7,labels
129,0.126,0.0,0.001,0.0,0.873,0.0,0.0,0.0,4
130,0.993,0.0,0.006,0.001,0.0,0.0,0.0,0.0,0
131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
134,0.729,0.0,0.271,0.0,0.0,0.0,0.0,0.0,0
135,0.963,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0
136,0.943,0.0,0.0,0.055,0.002,0.0,0.0,0.0,0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
138,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
139,0.0,0.0,0.001,0.0,0.999,0.0,0.0,0.0,4
140,0.99,0.0,0.004,0.0,0.006,0.0,0.0,0.0,0
141,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
143,0.0,0.0,0.0,0.001,0.999,0.0,0.0,0.0,4
144,0.051,0.0,0.0,0.0,0.948,0.0,0.0,0.0,4
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
148,0.0,0.0,0.47,0.0,0.53,0.0,0.0,0.0,4
