,Unnamed: 0,Rk,Player1,Player2,Player3,Player4,Player5,MP,PTS,New PTS,Tm
550,550,566,Trevor Booker 2016,Rudy Gobert 2016,Gordon Hayward 2016,Rodney Hood 2016,Raul Neto 2016,69.47,-2.8,-0.9078049479166664,UTA
551,551,567,Trevor Booker 2016,Trey Burke 2016,Alec Burks 2016,Derrick Favors 2016,Gordon Hayward 2016,57.39,1.7,0.6238210937500002,UTA
552,552,568,Alec Burks 2016,Derrick Favors 2016,Rudy Gobert 2016,Gordon Hayward 2016,Rodney Hood 2016,54.12,12.9,3.754678125,UTA
553,553,569,Trevor Booker 2016,Derrick Favors 2016,Gordon Hayward 2016,Rodney Hood 2016,Shelvin Mack 2016,51.59,-7.1,-1.7870903645833334,UTA
554,554,570,Derrick Favors 2016,Gordon Hayward 2016,Rodney Hood 2016,Trey Lyles 2016,Shelvin Mack 2016,45.47,0.5,0.24433567708333345,UTA
555,555,571,Trey Burke 2016,Derrick Favors 2016,Rudy Gobert 2016,Gordon Hayward 2016,Rodney Hood 2016,43.59,-26.2,-5.82067890625,UTA
556,556,572,Trevor Booker 2016,Derrick Favors 2016,Gordon Hayward 2016,Rodney Hood 2016,Raul Neto 2016,42.15,-19.3,-4.108175781249999,UTA
557,557,573,Trevor Booker 2016,Trey Burke 2016,Rudy Gobert 2016,Gordon Hayward 2016,Rodney Hood 2016,41.35,-0.5,0.021782552083333448,UTA
558,558,574,Derrick Favors 2016,Rudy Gobert 2016,Rodney Hood 2016,Joe Ingles 2016,Shelvin Mack 2016,41.24,29.0,6.358517708333333,UTA
559,559,575,Rudy Gobert 2016,Gordon Hayward 2016,Chris Johnson 2016,Trey Lyles 2016,Raul Neto 2016,40.03,-2.8,-0.4531716145833332,UTA
560,560,576,Trevor Booker 2016,Trey Burke 2016,Derrick Favors 2016,Gordon Hayward 2016,Rodney Hood 2016,38.21,-2.0,-0.2658575520833332,UTA
561,561,577,Trevor Booker 2016,Alec Burks 2016,Derrick Favors 2016,Gordon Hayward 2016,Rodney Hood 2016,37.22,-24.7,-4.655183854166666,UTA
562,562,578,Trey Burke 2016,Rudy Gobert 2016,Gordon Hayward 2016,Rodney Hood 2016,Trey Lyles 2016,33.02,-3.9,-0.5340953124999999,UTA
563,563,579,Trevor Booker 2016,Trey Burke 2016,Gordon Hayward 2016,Chris Johnson 2016,Jeff Withey 2016,33.01,3.0,0.6524132812500001,UTA
564,564,580,Jared Dudley 2016,Marcin Gortat 2016,Otto Porter 2016,Garrett Temple 2016,John Wall 2016,310.28,-2.9,-2.9,WAS
565,565,581,Bradley Beal 2016,Jared Dudley 2016,Marcin Gortat 2016,Otto Porter 2016,John Wall 2016,229.23,8.8,8.8,WAS
566,566,582,Bradley Beal 2016,Marcin Gortat 2016,Markieff Morris 2016,Otto Porter 2016,John Wall 2016,197.04,6.3,6.3,WAS
567,567,583,Bradley Beal 2016,Marcin Gortat 2016,Kris Humphries 2016,Otto Porter 2016,John Wall 2016,138.14,-10.0,-6.702477604166665,WAS
568,568,584,Marcin Gortat 2016,Markieff Morris 2016,Otto Porter 2016,Garrett Temple 2016,John Wall 2016,121.36,2.8,2.415527083333333,WAS
569,569,585,Jared Dudley 2016,Marcin Gortat 2016,Kelly Oubre Jr. 2016,Garrett Temple 2016,John Wall 2016,114.05,-0.8,0.23730338541666676,WAS
570,570,586,Bradley Beal 2016,Jared Dudley 2016,Marcin Gortat 2016,Garrett Temple 2016,John Wall 2016,69.29,17.6,7.473229427083334,WAS
571,571,587,Bradley Beal 2016,Marcin Gortat 2016,Markieff Morris 2016,Otto Porter 2016,Ramon Sessions 2016,59.18,-1.1,0.8750057291666667,WAS
